,TABELA_DESTINO,TABELA_ORIGEM,TABELA_ORIGEM_SISTEMA,SISTEMA,ASSUNTO
0,RL_CPE_CLIENTES,STG_CPE_CCLIE,CCLIE,EMPRESTIMO PESSOAL,CREDITO PESSOAL
32,RL_CPE_MODALIDADE,STG_CPE_TMODA,TMODA,EMPRESTIMO PESSOAL,CREDITO PESSOAL
64,RL_CPE_MOTIVO_ACORDO,STG_CPE_TMOTI,TMOTI,EMPRESTIMO PESSOAL,CREDITO PESSOAL
69,RL_CPE_MOV_FINANCEIRA,STG_CPE_EFINA,EFINA,EMPRESTIMO PESSOAL,CREDITO PESSOAL
74,RL_CPE_MOV_FINANCEIRA,,EFINA,EMPRESTIMO PESSOAL,CREDITO PESSOAL
75,RL_CPE_MOV_OPERACOES,STG_CPE_EMOV1,EMOV1,EMPRESTIMO PESSOAL,CREDITO PESSOAL
90,RL_CPE_MOV_OPERACOES,,EMOV1,EMPRESTIMO PESSOAL,CREDITO PESSOAL
91,RL_CPE_MOV_PROPOSTA_ACORDO,STG_CPE_CMOVP,CMOVP,EMPRESTIMO PESSOAL,CREDITO PESSOAL
105,RL_CPE_MOV_PROPOSTA_ACORDO,,CMOVP,EMPRESTIMO PESSOAL,CREDITO PESSOAL
106,RL_CPE_OFER_LIMITE_EMERGENCIAL,STG_CPE_OFER_LIMITE_EMERGENCIAL,oferta_limite_emergencial,GESTOR DE ACORDOS,CREDITO PESSOAL
116,RL_CPE_OPERACOES,STG_CPE_COPER,COPER,EMPRESTIMO PESSOAL,CREDITO PESSOAL
132,RL_CPE_ESTEIRA_ACORDO,STG_CPE_TDECI,TDECI,EMPRESTIMO PESSOAL,CREDITO PESSOAL
159,RL_CPE_ESTEIRA_ACORDO,,TDECI,EMPRESTIMO PESSOAL,CREDITO PESSOAL
160,RL_CPE_EXT_CLASS_NIVEL,STG_CPE_ECLAS,ECLAS,EMPRESTIMO PESSOAL,CREDITO PESSOAL
166,RL_CPE_EXT_CLASS_NIVEL,,ECLAS,EMPRESTIMO PESSOAL,CREDITO PESSOAL
167,RL_CPE_HIST_FINANCEIROS,STG_CPE_THFIN,THFIN,EMPRESTIMO PESSOAL,CREDITO PESSOAL
180,RL_CPE_LANC_CONTABEIS,STG_CPE_ECONTA,ECONTA,EMPRESTIMO PESSOAL,CREDITO PESSOAL
181,RL_CPE_LANC_MANUAIS,STG_CPE_EXCMDC,EXCMDC,EMPRESTIMO PESSOAL,CREDITO PESSOAL
204,RL_CPE_LIMITE,STG_CPE_LIMITE,limites,EMPRESTIMO PESSOAL,CREDITO PESSOAL
206,RL_CPE_LIMITE,,limites,EMPRESTIMO PESSOAL,CREDITO PESSOAL
290,RL_CPE_CNS_SERVCON,STG_CPE_ECONSULT,ECONSULT,EMPRESTIMO PESSOAL,CREDITO PESSOAL
299,RL_CPE_COMISSAO_DESP,CCOMI,CCOMI,EMPRESTIMO PESSOAL,CREDITO PESSOAL
320,RL_CPE_COMISSAO_DESP,,CCOMI,EMPRESTIMO PESSOAL,CREDITO PESSOAL
321,RL_CPE_COMISSIONADOS,STG_CPE_TASSE,TASSE,EMPRESTIMO PESSOAL,CREDITO PESSOAL
335,RL_CPE_COMIS_DESP_PROPOSTAS,STG_CPE_CCOMP,CCOMP,EMPRESTIMO PESSOAL,CREDITO PESSOAL
347,RL_CPE_CONTABIL_PARC,STG_CPE_ECNTP,ECNTP,EMPRESTIMO PESSOAL,CREDITO PESSOAL
355,RL_CPE_CONTABIL_PARC,,ECNTP,EMPRESTIMO PESSOAL,CREDITO PESSOAL
356,RL_CPE_DOCUMENTOS_PGTO,STG_CPE_CDOCS,CDOCS,EMPRESTIMO PESSOAL,CREDITO PESSOAL
374,RL_CPE_DOCUMENTOS_PGTO,,CDOCS,EMPRESTIMO PESSOAL,CREDITO PESSOAL
398,RL_CRT_CARTEIRA,STG_CRT_CARTEIRA,TAB_CARTEIRA,INTERSIC,CARTOES
402,RL_CRT_CLEARSALEPROCESS_GCC,STG_CRT_CLEARSALEPROCESS_GCC,CLEARSALEPROCESSAMENTO,GCC,CARTOES
408,RL_CRT_CLIENTE,STG_CRT_CLIENTE,TAB_CLIENTE,INTERSIC,CARTOES
420,RL_CRT_CLIENTE_GCC,STG_CRT_CLIENTE_GCC,CLIENTE,DB CARTOES,CARTOES
423,RL_CRT_ARQ_AUTORIZACAO,STG_CRT_ARQ_AUTORIZACAO,,DB CARTOES,CARTOES
425,RL_CRT_ARQ_FATURA_INTERNET,STG_CRT_ARQ_FATURA_INTERNET,ARQ_FATURA_INTERNET,DB CARTOES,CARTOES
455,RL_CRT_ARQ_FATURA_INTERNET,,ARQ_FATURA_INTERNET,DB CARTOES,CARTOES
456,RL_CRT_ARQ_FAT_PARC_ROTAT,STG_CRT_ARQ_FAT_PARC_ROTAT,ARQ_FATURA_PARC_ROTATIVO,DB CARTOES,CARTOES
462,RL_CRT_ARQ_FAT_PARC_ROTAT,,ARQ_FATURA_PARC_ROTATIVO,DB CARTOES,CARTOES
